iter	Accuracy	MultiClass
0	0.7707375	1.003240337
1	0.7723	0.9309459772
2	0.7796125	0.8703622416
3	0.78255	0.8192663397
4	0.7819625	0.7783321309
5	0.7806125	0.7433975849
6	0.7825875	0.7136624428
7	0.78245	0.6898581927
8	0.7826125	0.6686614447
9	0.7829875	0.6494910982
10	0.783425	0.6328506355
11	0.7834375	0.6183279238
12	0.7835125	0.6056623573
13	0.7838125	0.5939501647
14	0.7837	0.5831394062
15	0.7847875	0.5728796783
16	0.784175	0.5655431308
17	0.78535	0.5586045951
18	0.785225	0.5522402201
19	0.7862125	0.5468923188
20	0.7869	0.5409488934
21	0.7876125	0.5363490607
22	0.7874875	0.5315966714
23	0.7877125	0.5283949619
24	0.787925	0.5246501838
25	0.7884	0.5212033368
26	0.7887375	0.5185102478
27	0.7888375	0.5160323754
28	0.7887375	0.5141495199
29	0.7894	0.5120082076
30	0.7895	0.5100773222
31	0.789725	0.5078274886
32	0.7894625	0.5062622535
33	0.78995	0.5042855788
34	0.7902	0.5033007503
35	0.7905125	0.5014463245
36	0.7905875	0.5000065889
37	0.791025	0.4986528312
38	0.7914375	0.4973048342
39	0.7917	0.4956440011
40	0.7925125	0.4945555908
41	0.79255	0.4940258204
42	0.792925	0.4930308462
43	0.7934625	0.4920040711
44	0.7941625	0.4907338888
45	0.7941875	0.4900328391
46	0.7944375	0.4890868353
47	0.7945875	0.4886335189
48	0.795025	0.487942908
49	0.7957	0.4871928809
50	0.7958375	0.4865238927
51	0.7960875	0.4856466194
52	0.796225	0.4848783018
53	0.7965625	0.4842080745
54	0.796975	0.4837307081
55	0.797175	0.4834773139
56	0.79715	0.4830432431
57	0.7972625	0.4825397002
58	0.79745	0.4818623636
59	0.79745	0.4812503551
60	0.7974875	0.4805834756
61	0.797925	0.4802170983
62	0.797975	0.4799435574
63	0.798325	0.4796697031
64	0.79855	0.4788990067
65	0.798875	0.4783926864
66	0.7990625	0.477846207
67	0.7994125	0.4773504606
68	0.799575	0.4768439162
69	0.799575	0.4766593564
70	0.7996125	0.4764188241
71	0.7996625	0.4761768222
72	0.7997625	0.4759094766
73	0.800025	0.4754188365
74	0.800275	0.4750562523
75	0.80035	0.4748479417
76	0.8004375	0.4744024824
77	0.800575	0.4742255177
78	0.8008	0.4737984835
79	0.800775	0.4734357566
80	0.800975	0.4733255189
81	0.8011	0.4730308992
82	0.8011875	0.4729366465
83	0.8013875	0.4727172457
84	0.8014375	0.4725404594
85	0.8014125	0.4724218543
86	0.8012875	0.4723704936
87	0.8014375	0.4718756653
88	0.8015625	0.471741241
89	0.801775	0.4716016404
90	0.8018375	0.4713970254
91	0.8018625	0.4712874604
92	0.8019875	0.4711477547
93	0.8019375	0.4710973483
94	0.8019	0.4707617848
95	0.8019	0.4706785661
96	0.802025	0.4704990744
97	0.8021375	0.4703754174
98	0.8021	0.4701885324
99	0.8022875	0.4701113542
100	0.8024625	0.4700110925
101	0.8028125	0.4695942204
102	0.8029875	0.4691333702
103	0.8031125	0.4687616309
104	0.8032125	0.4686851108
105	0.803175	0.4684760025
106	0.803225	0.4683493942
107	0.8033875	0.4681325431
108	0.8034875	0.4680614793
109	0.80365	0.4677637974
110	0.80385	0.4676571735
111	0.8039	0.4674929432
112	0.8040625	0.4671451399
113	0.8039625	0.4670997102
114	0.8041125	0.4668736118
115	0.804175	0.4666815718
116	0.8041875	0.4666525037
117	0.8042375	0.4665991118
118	0.804375	0.4665632527
119	0.804325	0.466280392
120	0.80455	0.46610099
121	0.8045625	0.4660606915
122	0.804625	0.4657501912
123	0.8047125	0.4656010363
124	0.8048375	0.4653002426
125	0.8047625	0.4652202294
126	0.8048125	0.4650670286
127	0.8049125	0.4648957203
128	0.8050125	0.464742532
129	0.804925	0.4646486836
130	0.80495	0.4646087608
131	0.8050125	0.464504292
132	0.80515	0.4641944433
133	0.805325	0.4640795078
134	0.8053625	0.4639845671
135	0.8053875	0.463889473
136	0.8056375	0.4631554055
137	0.805675	0.4631265728
138	0.8057375	0.4630814881
139	0.805925	0.4627329738
140	0.806	0.4626452553
141	0.8062375	0.462319866
142	0.806225	0.4622102513
143	0.806325	0.4619604956
144	0.8064125	0.4618329719
145	0.8065875	0.4617188281
146	0.8066125	0.4616584273
147	0.806725	0.4615869598
148	0.8066875	0.4615260175
149	0.8067875	0.4614011275
150	0.806725	0.4611832859
151	0.80675	0.4611042651
152	0.8068375	0.4610289973
153	0.8069625	0.4609760765
154	0.8069875	0.4609370069
155	0.8069625	0.4605304368
156	0.80705	0.4603571771
157	0.8071875	0.4602704714
158	0.807325	0.4601673162
159	0.8074625	0.4597707731
160	0.8074625	0.4596992923
161	0.8073625	0.4596722089
162	0.8075625	0.4595439565
163	0.807525	0.4594462575
164	0.8074375	0.4591348559
165	0.8074	0.4590556883
166	0.8074625	0.4589650992
167	0.8076125	0.4588839218
168	0.807675	0.4588522906
169	0.8077375	0.4587740765
170	0.8079625	0.4585054165
171	0.80805	0.4583478415
172	0.8079375	0.4582737167
173	0.80805	0.458236787
174	0.808075	0.4581823252
175	0.8081625	0.4581290195
176	0.808175	0.4580520202
177	0.8083625	0.4578222715
178	0.8084	0.4577470259
179	0.8084375	0.4576948988
180	0.80845	0.4573713856
181	0.8084375	0.457308608
182	0.808375	0.4571770659
183	0.8084125	0.4570338009
184	0.8084625	0.4569632085
185	0.8085375	0.4568415234
186	0.808575	0.4568174817
187	0.8085375	0.4567145398
188	0.8085375	0.4566288288
189	0.80855	0.4564799981
190	0.808675	0.4561898695
191	0.8087875	0.4561329579
192	0.80885	0.4560236036
193	0.8088125	0.4559577475
194	0.8089375	0.4558552424
195	0.8089	0.4556941346
196	0.808875	0.4556433647
197	0.80905	0.4555499167
198	0.80905	0.455506555
199	0.8091	0.4554468432
200	0.8090125	0.4553762997
201	0.8091875	0.455299448
202	0.8092	0.4552294621
203	0.809375	0.4550738829
204	0.8094375	0.4550563853
205	0.8093375	0.4550098529
206	0.8093	0.4549478352
207	0.809325	0.4548752314
208	0.809325	0.454816722
209	0.80945	0.4547450337
210	0.809425	0.454719632
211	0.8095	0.4546696416
212	0.8096125	0.4544631841
213	0.8096	0.454426574
214	0.8096375	0.45429592
215	0.80965	0.4541949427
