iter	Passed	Remaining
0	561	842199
1	1106	828816
2	1497	747177
3	1932	722632
4	2285	683357
5	2609	649889
6	2903	619219
7	3165	590289
8	3615	598911
9	3998	595794
10	4412	597279
11	4751	589200
12	5089	582132
13	5453	578816
14	5958	589925
15	6370	590896
16	6852	597742
17	7426	611411
18	7770	605676
19	7992	591460
20	8440	594423
21	9073	609546
22	9560	613970
23	10205	627651
24	10548	622379
25	10940	620215
26	11297	616340
27	11786	619622
28	12174	617525
29	12529	613922
30	12915	612032
31	13335	611753
32	13792	613155
33	14115	608648
34	14497	606815
35	15009	610375
36	15417	609599
37	15798	607842
38	16222	607707
39	16671	608510
40	17099	608489
41	17504	607649
42	17910	606882
43	18501	612229
44	19035	615490
45	19503	616479
46	20156	623149
47	20569	622241
48	20933	619886
49	21322	618348
50	21935	623239
51	22622	629937
52	23121	631252
53	23547	630549
54	24053	631952
55	24724	637542
56	25464	644647
57	25892	643740
58	26925	657621
59	27907	669774
60	28437	670839
61	28908	670493
62	29344	669340
63	29912	671164
64	30518	673763
65	31078	675254
66	31551	674832
67	32015	674206
68	32484	673706
69	32879	671683
70	33292	670063
71	33703	668453
72	34144	667461
73	34663	667972
74	35229	669356
75	35663	668222
76	36143	667956
77	36562	666561
78	37008	665677
79	37486	665393
80	37910	664132
81	38348	663149
82	38760	661734
83	39159	660123
84	39570	658724
85	40110	659489
86	40625	659821
87	41177	660706
88	41749	661898
89	42236	661699
90	42744	661842
91	43327	663106
92	43927	664575
93	44375	663749
94	44906	664146
95	45297	662471
96	45703	661055
97	46083	659269
98	46451	657353
99	46861	656063
100	47311	655328
101	47788	654988
102	48189	653595
103	48595	652307
104	49014	651192
105	49584	652080
106	50068	651826
107	50665	653017
108	51208	653500
109	51699	653296
110	52290	654332
111	52723	653400
112	53137	652231
113	53500	650458
114	53958	649843
115	54382	648834
116	54797	647730
117	55181	646283
118	55530	644439
119	55936	643272
120	56348	642190
121	56728	640747
122	57141	639704
123	57576	638914
124	58154	639695
125	58747	640631
126	59241	640463
127	59804	641031
128	60301	640876
129	61065	643536
130	61465	642340
131	61877	641278
132	62303	640366
133	62685	639018
134	63069	637702
135	63489	636765
136	63935	636085
137	64312	634734
138	64870	635173
139	65384	635163
140	65806	634263
141	66235	633431
142	66608	632081
143	66995	630875
144	67448	630296
145	67836	629110
146	68278	628441
147	68769	628223
148	69175	627222
149	69564	626077
150	70153	626733
151	70716	627147
152	71260	627371
153	71670	626420
154	72059	625289
155	72497	624592
156	72922	623785
157	73353	623036
158	73745	621963
159	74125	620797
160	74621	620612
161	75017	619586
162	75422	618648
163	75796	617464
164	76175	616328
165	76704	616407
166	77324	617204
167	77729	616287
168	78099	615091
169	78444	613711
170	78866	612942
171	79260	611961
172	79637	610861
173	80009	609729
174	80420	608897
175	80804	607870
176	81200	606940
177	81600	606047
178	82006	605199
179	82475	604817
180	82915	604231
181	83400	603965
182	83935	604057
183	84520	604503
184	84922	603636
185	85385	603208
186	85746	602058
187	86144	601178
188	86528	600207
189	86908	599209
190	87333	598529
191	87694	597415
192	88080	596484
193	88460	595515
194	88860	594683
195	89472	595263
196	90065	595710
197	90503	595131
198	90901	594285
199	91435	594327
200	92125	595380
201	92576	594874
202	93293	596064
203	93835	596128
204	94344	595979
205	94788	595418
206	95426	596070
207	96045	596589
208	96442	595729
209	96913	595327
210	97343	594671
211	97776	594036
212	98400	594561
213	98824	593873
214	99224	593042
215	99586	591986
216	99976	591104
217	100546	591289
218	100977	590648
219	101369	589787
220	101767	588960
221	102196	588322
222	102629	587701
223	103031	586913
224	103437	586148
225	103829	585305
226	104276	584773
227	104690	584063
228	105095	583301
229	105490	582490
230	105892	581722
231	106299	580980
232	106722	580331
233	107147	579694
234	107537	578874
235	107975	578309
236	108491	578165
237	108890	577393
238	109275	576556
239	109690	575873
240	110140	575383
241	110565	574756
242	110971	574036
243	111395	573411
244	111790	572638
245	112297	572443
246	112740	571920
247	113194	571448
248	113701	571248
249	114162	570810
250	114576	570144
251	114971	569384
252	115350	568546
253	115794	568032
254	116256	567606
255	116662	566906
256	117079	566265
257	117492	565603
258	117888	564865
259	118315	564271
260	118697	563470
261	119080	562679
262	119508	562099
263	119889	561301
264	120313	560704
265	120685	559872
266	121062	559063
267	121471	558405
268	121882	557757
269	122367	557452
270	122783	556831
271	123223	556316
272	123628	555649
273	124122	555378
274	124456	554397
275	124863	553740
276	125251	553007
277	125641	552279
278	126034	551572
279	126409	550783
280	126815	550136
281	127210	549440
282	127624	548831
283	128092	548451
284	128636	548398
285	129097	547986
286	129493	547303
